"yyyymm","id","sname","month_amt","pre_m_amt","pre_y_amt","pre_m_percent","pre_y_percent","sum_amt","per_sum_amt","sum_percent","memo_str"
"202304","1783",和康生,52371,57619,39471,-9.10,32.68,195398,162733,20.07,-
"202303","1783",和康生,57619,42159,46371,36.67,24.25,143027,123262,16.03,-
"202302","1783",和康生,42159,43249,40754,-2.52,3.44,85408,76891,11.07,-
"202301","1783",和康生,43249,61732,36137,-29.94,19.68,43249,36137,19.68,-
"202212","1783",和康生,61732,52287,41072,18.06,50.30,604431,511976,18.05,本月營收較去年同期增加，主要係因出貨量增加所致。
"202211","1783",和康生,52287,50288,43406,3.97,20.46,542699,470904,15.24,-
"202210","1783",和康生,50288,59273,56849,-15.15,-11.54,490412,427498,14.71,-
"202209","1783",和康生,59273,56342,55392,5.20,7.00,440124,370649,18.74,-
"202208","1783",和康生,56342,46993,47965,19.89,17.46,380851,315256,20.80,-
"202207","1783",和康生,46993,62372,35208,-24.65,33.47,324509,267291,21.40,-
"202206","1783",和康生,62372,52411,48042,19.00,29.82,277516,232083,19.57,-
"202205","1783",和康生,52411,39471,43113,32.78,21.56,215144,184041,16.90,-
"202204","1783",和康生,39471,46371,29919,-14.87,31.92,162733,140928,15.47,-
"202203","1783",和康生,46371,40754,48641,13.78,-4.66,123262,111009,11.03,-
"202202","1783",和康生,40754,36137,37945,12.77,7.40,76891,62368,23.28,-
"202201","1783",和康生,36137,41072,24423,-12.01,47.96,36137,24423,47.96,-
"202112","1783",和康生,41072,43406,63858,-5.37,-35.68,511976,457691,11.86,-
"202111","1783",和康生,43406,56849,39604,-23.64,9.60,470904,393833,19.56,-
"202110","1783",和康生,56849,55392,19463,2.63,192.08,427498,354229,20.68,本月營收較去年同期增加，主要係因出貨量增加所致。
"202109","1783",和康生,55392,47965,51287,15.48,8.00,370649,334766,10.71,-
"202108","1783",和康生,47965,35208,37624,36.23,27.48,315256,283479,11.20,-
"202107","1783",和康生,35208,48042,26159,-26.71,34.59,267291,245855,8.71,-
"202106","1783",和康生,48042,43113,49206,11.43,-2.36,232083,219696,5.63,-
"202105","1783",和康生,43113,29919,37740,44.09,14.23,184041,170490,7.94,-
"202104","1783",和康生,29919,48641,29423,-38.49,1.68,140928,132749,6.16,-
"202103","1783",和康生,48641,37945,54679,28.18,-11.04,111009,103326,7.43,-
"202102","1783",和康生,37945,24423,25071,55.36,51.35,62368,48647,28.20,本月營收較去年同期增加，主要係因出貨量增加所致
"202101","1783",和康生,24423,63858,23576,-61.75,3.59,24423,23576,3.59,-
"202012","1783",和康生,63858,39604,38276,61.24,66.83,457691,452199,1.21,本月營收較去年同期增加，主要係因出貨量增加所致
"202011","1783",和康生,39604,19463,42738,103.48,-7.33,393833,413922,-4.85,-
"202010","1783",和康生,19463,51287,30837,-62.05,-36.88,354229,371184,-4.56,-
"202009","1783",和康生,51287,37624,50601,36.31,1.35,334766,340347,-1.63,-
"202008","1783",和康生,37624,26159,39758,43.82,-5.36,283479,289746,-2.16,-
"202007","1783",和康生,26159,49206,30289,-46.83,-13.63,245855,249988,-1.65,-
"202006","1783",和康生,49206,37740,53615,30.38,-8.22,219696,219699,0.00,-
"202005","1783",和康生,37740,29423,41394,28.26,-8.82,170490,166083,2.65,-
"202004","1783",和康生,29423,54679,32453,-46.18,-9.33,132749,124689,6.46,-
"202003","1783",和康生,54679,25071,39676,118.09,37.81,103326,92236,12.02,-
"202002","1783",和康生,25071,23576,26889,6.34,-6.76,48647,52560,-7.44,-
"202001","1783",和康生,23576,38276,25671,-38.40,-8.16,23576,25671,-8.16,-
"202305","1783",和康生,56153,52371,52411,7.22,7.13,251551,215144,16.92,-
"202306","1783",和康生,62395,56153,62372,11.11,0.03,313946,277516,13.12,-
"202307","1783",和康生,54086,62395,46993,-13.31,15.09,368032,324509,13.41,-
"202308","1783",和康生,60919,54086,56342,12.63,8.12,428951,380851,12.62,-
"202309","1783",和康生,44422,60919,59273,-27.08,-25.05,473373,440124,7.55,-
"202310","1783",和康生,45765,44422,50288,3.02,-8.99,519138,490412,5.85,-
"202311","1783",和康生,55645,45765,52287,21.58,6.42,574783,542699,5.91,-
"202312","1783",和康生,47332,55645,61732,-14.93,-23.32,622115,604431,2.92,-
"202401","1783",和康生,51182,47332,43249,8.13,18.34,51182,43249,18.34,-
"202402","1783",和康生,37384,51182,42159,-26.95,-11.32,88566,85408,3.69,-
"202403","1783",和康生,38492,37384,57619,2.96,-33.19,127058,143027,-11.16,-
"202404","1783",和康生,52055,38492,52371,35.23,-0.60,179113,195398,-8.33,-
"202405","1783",和康生,64971,52055,56153,24.81,15.70,244084,251551,-2.96,-
"202406","1783",和康生,56991,64971,62395,-12.28,-8.66,301075,313946,-4.09,-
"202407","1783",和康生,55955,56991,54086,-1.81,3.45,357030,368032,-2.98,-
"202408","1783",和康生,54937,55955,60919,-1.81,-9.81,411967,428951,-3.95,-
